Name,"Modified Time","Change Time","Access Time","Created Time",Size,"Flags(Dir)","Flags(Meta)",Known,Location,"MD5 Hash","SHA-256 Hash","MIME Type",Extension
"org.openoffice.FirstStartWizard.dat","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Application Data/OpenOffice.org/3/user/registry/cache/org.openoffice.FirstStartWizard.dat",,,application/octet-stream,dat
29,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Application Data/Sun/Java/Deployment/cache/6.0/29",,,application/octet-stream,
sp1033.MST,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Application Data/Sun/Java/jre1.6.0_17/sp1033.MST",,,application/octet-stream,mst
sp1033.MST,"2009-11-10 03:28:09 EET","2009-11-10 03:31:49 EET","2009-11-10 03:28:46 EET","2009-11-10 03:28:02 EET",5199360,Unallocated,Allocated,unknown,"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Application Data/Sun/Java/jre1.6.0_17/sp1033.MST",,,"application/x-ms-installer",mst
"administrator@www.microsoft[1].txt","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Cookies/administrator@www.microsoft[1].txt",,,application/octet-stream,txt
"administrator@www.msn[2].txt","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Cookies/administrator@www.msn[2].txt",,,application/octet-stream,txt
"Windows Media.url","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Favorites/Links/Windows Media.url",,,application/octet-stream,url
"{45D3DB4F-CD92-11DE-9E6B-000BDB6358A6}.dat","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Local Settings/Application Data/Microsoft/Internet Explorer/Recovery/Active/{45D3DB4F-CD92-11DE-9E6B-000BDB6358A6}.dat",,,application/octet-stream,dat
WMSDKNS.XML.bak,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Local Settings/Application Data/Microsoft/Windows Media/9.0/WMSDKNS.XML.bak",,,application/octet-stream,bak
license_zh.htm,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Local Settings/Temp/AVGDownloadManager/packages/65/license_zh.htm",,,application/octet-stream,htm
box_top_red.gif,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Local Settings/Temp/AVGDownloadManager/packages/65/box_top_red.gif",,,application/octet-stream,gif
8,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Local Settings/Temp/AVGDownloadManager/packages/8",,,application/octet-stream,
"avgdm90_pro_0700_027.pack","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Local Settings/Temp/AVGDownloadManager/packages/avgdm90_pro_0700_027.pack",,,application/octet-stream,pack
~DF28B6.tmp,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Local Settings/Temp/~DF28B6.tmp",,,application/octet-stream,tmp
~DF28DA.tmp,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Local Settings/Temp/~DF28DA.tmp",,,application/octet-stream,tmp
~DF2ED9.tmp,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Local Settings/Temp/~DF2ED9.tmp",,,application/octet-stream,tmp
~DF312E.tmp,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Local Settings/Temp/~DF312E.tmp",,,application/octet-stream,tmp
~DF3487.tmp,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Local Settings/Temp/~DF3487.tmp",,,application/octet-stream,tmp
~DF349A.tmp,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Local Settings/Temp/~DF349A.tmp",,,application/octet-stream,tmp
~DF34F5.tmp,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Local Settings/Temp/~DF34F5.tmp",,,application/octet-stream,tmp
~DF4A76.tmp,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Local Settings/Temp/~DF4A76.tmp",,,application/octet-stream,tmp
