"Source Name",URL,Title,"Date Created","Program Name","Data Source",Domain
places.sqlite,"place:queryType=0&sort=8&maxResults=10","Most Visited","2009-11-13 03:52:41 EET","FireFox Analyzer",jo-2009-11-16.E01,
places.sqlite,"place:folder=BOOKMARKS_MENU&folder=UNFILED_BOOKMARKS&folder=TOOLBAR&queryType=1&sort=12&excludeItemIfParentHasAnnotation=livemark%2FfeedURI&maxResults=10&excludeQueries=1","Recently Bookmarked","2009-11-13 03:52:41 EET","FireFox Analyzer",jo-2009-11-16.E01,
places.sqlite,"place:type=6&sort=14&maxResults=10","Recent Tags","2009-11-13 03:52:41 EET","FireFox Analyzer",jo-2009-11-16.E01,
places.sqlite,"https://addons.mozilla.org/en-US/firefox/bookmarks/","Get Bookmark Add-ons","2009-11-13 03:52:41 EET","FireFox Analyzer",jo-2009-11-16.E01,mozilla.org
places.sqlite,"http://www.mozilla.com/en-US/firefox/central/","Getting Started","2009-11-13 03:52:41 EET","FireFox Analyzer",jo-2009-11-16.E01,mozilla.com
places.sqlite,"http://www.mozilla.com/en-US/firefox/help/","Help and Tutorials","2009-11-13 03:52:41 EET","FireFox Analyzer",jo-2009-11-16.E01,mozilla.com
places.sqlite,"http://www.mozilla.com/en-US/firefox/customize/","Customize Firefox","2009-11-13 03:52:41 EET","FireFox Analyzer",jo-2009-11-16.E01,mozilla.com
places.sqlite,"http://www.mozilla.com/en-US/firefox/community/","Get Involved","2009-11-13 03:52:41 EET","FireFox Analyzer",jo-2009-11-16.E01,mozilla.com
places.sqlite,"http://www.mozilla.com/en-US/firefox/about/","About Us","2009-11-13 03:52:41 EET","FireFox Analyzer",jo-2009-11-16.E01,mozilla.com
places.sqlite,"https://ieonline.microsoft.com/#ieslice","ieonline.microsoft.com-#ieslice","2009-11-13 03:52:41 EET","FireFox Analyzer",jo-2009-11-16.E01,microsoft.com
places.sqlite,"https://ieonline.microsoft.com/#ieslice","Suggested Sites","2009-11-13 03:52:41 EET","FireFox Analyzer",jo-2009-11-16.E01,microsoft.com
places.sqlite,"http://go.microsoft.com/fwlink/?LinkId=121315","Web Slice Gallery","2009-11-13 03:52:41 EET","FireFox Analyzer",jo-2009-11-16.E01,microsoft.com
places.sqlite,"http://go.microsoft.com/fwlink/?LinkId=50893","IE Add-on site","2009-11-13 03:52:41 EET","FireFox Analyzer",jo-2009-11-16.E01,microsoft.com
places.sqlite,"http://go.microsoft.com/fwlink/?linkid=44661","IE site on Microsoft.com","2009-11-13 03:52:41 EET","FireFox Analyzer",jo-2009-11-16.E01,microsoft.com
